neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
1693,0.10247242733719036,0.08436992284005529,0.028021929727208954,hamilton_38,True,FF,True
1695,0.15882285170592964,0.09736750513040483,0.040296673226283074,hamilton_38,True,SIR,True
1697,0.12846801415908424,0.09369862735114816,0.033618761941337894,hamilton_38,True,SR,True
1698,0.1098675418878617,0.07149736026131825,0.02944645668865616,hamilton_38,True,SIR,True
1700,0.12818109099141062,0.09916856356491807,0.033149748080975996,hamilton_38,True,SIR,True
1706,0.11777174886544066,0.08849283906297453,0.03103569953652683,hamilton_38,True,SIR,True
1708,0.09072025715151355,0.05804529589082269,0.02532602824405031,hamilton_38,True,SR,True
1709,0.12590898621865282,0.08970667394659991,0.032834355690489495,hamilton_38,True,SIR,True
1712,0.0867971525396748,0.09074935696063323,0.024148431643355173,hamilton_38,True,SIR,True
1713,0.14818320166876975,0.10644194430424699,0.03813258508320837,hamilton_38,True,SIR,True
1715,0.11566345102048252,0.09122160821466221,0.03081153131454351,hamilton_38,True,SR,True
1720,0.09079013240781644,0.08653943152736852,0.025308849428708678,hamilton_38,True,SIR,True
1721,0.08641192744391293,0.06887030639272251,0.024029234211476926,hamilton_38,True,SIR,True
1725,0.09964725409496056,0.09463117592328361,0.027477689691675872,hamilton_38,True,SIR,True
1726,0.08674824259027072,0.06835434059062269,0.024084808985100088,hamilton_38,True,SIR,True
1727,0.1429042018507604,0.09571428841276344,0.03675767009558909,hamilton_38,True,FF,True
1728,0.08247772715574671,0.08030548217006574,0.02308184492209747,hamilton_38,True,SIR,True
1732,0.12601109251785253,0.07845390292703197,0.03331663765501125,hamilton_38,True,SIR,True
1733,0.11086806393318553,0.11067912852367408,0.02958610561035081,hamilton_38,True,SIR,True
1735,0.0907626229409373,0.10324855489532656,0.024701789051323954,hamilton_38,True,SIR,True
1736,0.07784282182812115,0.07019292003007827,0.022662801285890204,hamilton_38,True,SIR,True
1737,0.11240727371562124,0.09043335567113421,0.02994111397554537,hamilton_38,True,SIR,True
1739,0.11502070105272869,0.0671316467366196,0.031019533225712197,hamilton_38,True,SR,True
1741,0.11193957019889693,0.0749847237499926,0.029807656391631455,hamilton_38,True,SR,True
1743,0.07753110808450171,0.07077228301053744,0.022217729383692392,hamilton_38,True,FF,True
1748,0.12474817290158001,0.08769597191047104,0.03254805004488391,hamilton_38,True,SIR,True
1749,0.15116375886678896,0.10421449574924592,0.0388010863035298,hamilton_38,True,SIR,True
1751,0.11604952421021553,0.0869980783131082,0.031072270007289123,hamilton_38,True,SIR,True
1752,0.14065172968545092,0.09792687444441937,0.03657126983462318,hamilton_38,True,SIR,True
1754,0.1103528271566367,0.0976483951824034,0.029142081326525893,hamilton_38,True,SIR,True
1755,0.07156579978636804,0.06590527887364353,0.02126119044039301,hamilton_38,True,SR,True
1760,0.15441255694521386,0.16298717067577004,0.02579455398242296,hamilton_37,True,SR,True
1767,0.1386716311599564,0.1425321686934096,0.023831371039263725,hamilton_37,True,SR,True
1769,0.20981573158097092,0.1815344978571959,0.033791834048930346,hamilton_37,True,SR,True
1772,0.20103512058775963,0.1762029804274001,0.03256371035187617,hamilton_37,True,SIR,True
1774,0.1749565844407089,0.16139474019657335,0.028906041926884136,hamilton_37,True,SR,True
1775,0.16189697343002113,0.16047114582046462,0.02681776110045382,hamilton_37,True,SR,True
1792,0.18824837547841639,0.17544281568902384,0.03091027054499591,hamilton_37,True,SR,True
1795,0.2095067108166979,0.1756689353618088,0.033628729690394835,hamilton_37,True,SR,True
1800,0.1975906411122592,0.20250840293349195,0.03191309074114308,hamilton_37,True,SIR,True
1810,0.19473956571793782,0.21086550805326387,0.031622370716480726,hamilton_37,True,SIR,True
1811,0.1295168734634663,0.1570751335303655,0.0223202180666227,hamilton_37,True,SR,True
1812,0.08980120168112136,0.1284552446749638,0.01669153342732223,hamilton_37,True,SR,True
