neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1881,21.0,0.08433734939759036,2.125541460446267,0.329684950874641,42,160,18,1,hamilton_35,acute_sal,HAMILTON,0.3286241561461672,False,0.03734999999997157
1882,18.0,0.07258064516129033,1.107904533016913,0.6280098900120769,42,162,16,1,hamilton_35,acute_sal,HAMILTON,0.6140182814913412,False,0.028416666666629453
1883,32.0,0.11851851851851852,4.032410332280726,0.42468614462576165,42,167,21,1,hamilton_35,acute_sal,HAMILTON,0.3488455612805985,False,0.03820000000001755
1884,9.0,0.03734439834024896,0.9718172005809574,0.5972365673189908,42,171,20,1,hamilton_35,acute_sal,HAMILTON,0.6193361800497542,True,0.026833333333343035
1885,25.0,0.10204081632653061,3.099827987623845,0.5610601101809913,42,177,21,1,hamilton_35,acute_sal,HAMILTON,0.4162323821070859,True,0.0341000000000804
1887,17.0,0.06938775510204082,0.4178649340725009,0.9301902701680536,42,184,22,1,hamilton_35,acute_sal,HAMILTON,0.8421054122397263,False,0.028733333333320843
1888,34.0,0.1440677966101695,0.027711331806515162,1.018321267695115,42,186,22,1,hamilton_35,acute_sal,HAMILTON,0.9058526189576828,True,0.02596666666670444
1889,29.0,0.11372549019607843,0.11386339306637418,0.9107886019666654,42,195,24,1,hamilton_35,acute_sal,HAMILTON,0.8374305864443522,True,0.03645000000000209
1890,26.0,0.10236220472440945,4.461524420848941,0.42466175148554786,42,198,26,1,hamilton_35,acute_sal,HAMILTON,0.35354249692710343,True,0.0405333333333715
1893,11.0,0.04564315352697095,0.8222857566745143,0.42316208601626365,42,203,28,1,hamilton_35,acute_sal,HAMILTON,0.3907399987794305,True,0.04139999999995325
1894,14.0,0.05785123966942149,0.792105098271379,0.6235600531190201,42,210,29,1,hamilton_35,acute_sal,HAMILTON,0.5436332946300056,True,0.031533333333300106
1895,9.0,0.03734439834024896,1.3441367774269086,0.917263046066705,42,211,29,1,hamilton_35,acute_sal,HAMILTON,0.7962642330299372,True,0.03314999999997781
1896,15.0,0.06172839506172839,3.126441840942973,0.4335723435522286,42,225,32,1,hamilton_35,acute_sal,HAMILTON,0.40782710647455905,False,0.04200000000008686
1897,14.0,0.05785123966942149,7.83078337712623,0.5218331147888126,42,226,31,1,hamilton_35,acute_sal,HAMILTON,0.31843036884465814,True,0.030166666666616493
