neuron_id,lag,time,cc,session_name,bin_width,p,sig
1848,0,0.0,0.1631622164267928,hamilton_35,1.0,0.0,True
1874,0,0.0,0.2000872580266084,hamilton_35,1.0,0.0,True
1875,0,0.0,0.3350312184820533,hamilton_35,1.0,0.9526743688489517,False
1878,0,0.0,0.3441966661694907,hamilton_35,1.0,1.0,False
1881,0,0.0,0.390464929781704,hamilton_35,1.0,0.9996097751329204,False
1883,0,0.0,0.3587078243016823,hamilton_35,1.0,1.0,False
1884,0,0.0,0.2048429225031539,hamilton_35,1.0,0.0,True
1885,0,0.0,0.1551660285067793,hamilton_35,1.0,1.0,False
1888,0,0.0,0.1583988209385372,hamilton_35,1.0,0.0,True
1889,0,0.0,0.2164997058007116,hamilton_35,1.0,0.0,True
1900,0,0.0,0.1394561872591355,hamilton_35,1.0,0.0,True
1903,0,0.0,0.276524332241312,hamilton_35,1.0,1.0,False
1904,0,0.0,0.2844623591281618,hamilton_35,1.0,0.0,True
1909,0,0.0,0.0845018717051033,hamilton_35,1.0,1.0,False
1917,0,0.0,0.1641821291377201,hamilton_36,1.0,0.0,True
1919,0,0.0,0.1467214392476468,hamilton_36,1.0,0.0,True
1929,0,0.0,0.1132723915110919,hamilton_36,1.0,0.0,True
1930,0,0.0,0.0143102802934287,hamilton_36,1.0,0.22417721518987344,False
1934,0,0.0,-0.0074213508244145,hamilton_36,1.0,0.5750000000000001,False
1942,0,0.0,0.0550779064800364,hamilton_36,1.0,0.0,True
1945,0,0.0,0.0463661280576382,hamilton_36,1.0,0.0,True
1946,0,0.0,0.1280074430838294,hamilton_36,1.0,0.0,True
1947,0,0.0,0.115127996390325,hamilton_36,1.0,0.0,True
1949,0,0.0,0.2407647691791381,hamilton_36,1.0,0.0,True
1959,0,0.0,0.1364828202843639,hamilton_36,1.0,0.0,True
1960,0,0.0,-0.0220605262883477,hamilton_36,1.0,0.07600858369098713,False
1962,0,0.0,-0.0979567622856994,hamilton_32,1.0,0.0,True
1970,0,0.0,-0.04841680022246,hamilton_32,1.0,0.0,True
1973,0,0.0,-0.0077235395870367,hamilton_32,1.0,0.5744147811790495,False
1975,0,0.0,0.0339993934240934,hamilton_32,1.0,0.013253012048192772,True
1983,0,0.0,0.2433748132911305,hamilton_32,1.0,0.0,True
1984,0,0.0,0.3180899921616906,hamilton_32,1.0,0.0,True
1985,0,0.0,0.2044260650833282,hamilton_32,1.0,0.0,True
1987,0,0.0,0.2463563653671804,hamilton_32,1.0,0.0,True
1990,0,0.0,0.0350163902785249,hamilton_32,1.0,0.0,True
1992,0,0.0,0.3262638784210945,hamilton_32,1.0,0.0,True
